video_id,title,published_date,year,month,title_length,word_count
3mV2KMzNxLE,MongoDB sorting and limiting explained,2024-07-22 12:35:17+00:00,2024,7,38,5
jS3vcRjY4Y8,MongoDB how to update documents,2024-07-22 12:36:02+00:00,2024,7,31,5
6DoLxeMlVTI,MongoDB tutorial for beginners 🍃,2024-07-22 12:30:53+00:00,2024,7,32,5
JVQNywo4AbU,Request API data using Python in 8 minutes! ↩️,2024-07-17 13:00:26+00:00,2024,7,46,9
IljPHDyBRog,Learn Python LAMBDA in 6 minutes! 🚮,2024-07-14 14:00:14+00:00,2024,7,35,7
V_NXT2-QIlE,Learn Python EXCEPTION HANDLING in 5 minutes! 🚦,2024-06-29 14:00:22+00:00,2024,6,47,8
Qe03kCuTMoU,Learn Python DUCK TYPING in 4 minutes! 🦆,2024-06-25 14:00:31+00:00,2024,6,40,8
TPUdUkFHD5I,Learn Python COMPOSITION in 7 minutes! 🚘,2024-06-19 14:00:32+00:00,2024,6,40,7
8aW3tkIul-8,Let&#39;s code a beginners Python BANKING PROGRAM 💰,2024-05-30 15:37:01+00:00,2024,5,51,8
8A0E1dSyjFM,if __name__ == &#39;__main__&#39; for Python beginners 📥,2024-05-27 16:42:51+00:00,2024,5,56,8
TYyKQBC4bwE,Learn conditional expressions in 5 minutes! ❓,2024-05-25 15:18:01+00:00,2024,5,45,7
HzyhmZqiaE8,SUPER() in Python explained! 🔴,2024-05-24 15:39:00+00:00,2024,5,30,5
Q8YlYHjksLo,Learn Python multiple inheritance in 8 minutes! 🐟,2024-05-24 14:56:50+00:00,2024,5,49,8
1XE-_s4ZBT8,Learn Python Object Oriented Programming! 🚗,2024-05-20 18:06:45+00:00,2024,5,43,6
JLIF5XHBL3E,Random event generator in C++ 🎁,2024-05-20 01:36:24+00:00,2024,5,31,6
BO6XOcfTyhU,PHPMyAdmin create a table easy,2024-05-20 01:25:10+00:00,2024,5,30,5
EgDQ7Z13FQc,PHP $_COOKIE explained,2024-05-20 01:22:18+00:00,2024,5,22,3
HAs7YXPduZI,PHP for loops explained,2024-05-20 01:16:27+00:00,2024,5,23,4
CuOZ8d7gWeU,PHP arrays explained,2024-05-20 01:17:19+00:00,2024,5,20,3
6AzAYU8AOhQ,PHP $_GET and $_POST explained,2024-05-20 01:13:35+00:00,2024,5,30,5
SI69DXbYHXU,PHP tutorial for beginners 🐘,2024-05-20 01:11:37+00:00,2024,5,28,5
przRGJtl0HY,PHP variables and data types,2024-05-20 01:11:54+00:00,2024,5,28,5
CgkZ7MvWUAA,React Full Course for free ⚛️,2024-01-16 15:55:09+00:00,2024,1,29,6
FpNfvbNYPsg,React useContext() hook introduction 🧗‍♂️,2024-01-09 18:27:37+00:00,2024,1,41,5
AiQ-V_0qvRI,Build this digital clock with React! 🕒,2024-01-07 14:00:07+00:00,2024,1,38,7
L-1sP3Ljhsg,React useEffect() hook introduction 🌟,2024-01-06 14:34:56+00:00,2024,1,37,5
VaDUGPMjzOM,Create a weather app with JavaScript! ☀️,2023-12-30 21:13:30+00:00,2023,12,40,7
9j1dZwFEJ-c,JavaScript ASYNC/AWAIT is easy! ⏳,2023-12-21 17:23:12+00:00,2023,12,33,5
NOzi4wBHn0o,What are JavaScript PROMISES? 🤞,2023-12-21 14:39:25+00:00,2023,12,31,5
9wiWzu_tRB0,Build this to-do-list app with React! ☝,2023-12-19 19:13:28+00:00,2023,12,39,7
62qN2RcpIAE,Learn the JavaScript classList property easy! 💡,2023-12-16 19:49:10+00:00,2023,12,47,7
q32skvBgxo4,Learn JavaScript KEY EVENTS in 10+ minutes! ⌨,2023-12-14 14:46:31+00:00,2023,12,45,8
WCRi7y6aNrQ,How to ADD/CHANGE HTML using JavaScript 🛠️,2023-12-11 19:41:36+00:00,2023,12,42,7
Y62mbztjmus,React JS update ARRAY of OBJECTS in state 🚘,2023-12-10 12:58:48+00:00,2023,12,43,9
nbAaUpNDhRY,What are React updater functions? 🔄,2023-12-08 16:15:36+00:00,2023,12,35,6
Coyy79wRz_s,What is asynchronous JavaScript code? 💤,2023-11-30 15:39:07+00:00,2023,11,39,6
HOMu48bTzz8,Format currency EASY in JavaScript 💲,2023-11-28 14:45:37+00:00,2023,11,36,6
2glfqa-ZbNw,Build this digital clock with JavaScript! 🕐,2023-11-27 15:27:40+00:00,2023,11,43,7
CTHhlx25X-U,Learn JavaScript SORTING in 6 minutes! 🗃,2023-11-22 16:13:12+00:00,2023,11,40,7
b8gwYQ_V4K4,Learn JavaScript NESTED OBJECTS easy! 📫,2023-11-21 16:15:53+00:00,2023,11,39,6
UHZcJyVXtLo,JavaScript DESTRUCTURING in 8 minutes! 💥,2023-11-20 13:27:06+00:00,2023,11,40,6
KQVCAnh6Afk,JavaScript GETTERS &amp; SETTERS are awesome!!! 📐,2023-11-19 22:26:08+00:00,2023,11,49,7
U2vxAEiaVRY,Learn JavaScript CLASSES in 6 minutes! 🏭,2023-11-17 17:38:25+00:00,2023,11,40,7
HFaxylC7bUc,JavaScript FUNCTIONS are easy! 📞,2023-11-03 13:26:37+00:00,2023,11,32,5
TDUz9QcGPoE,Learn JavaScript WHILE LOOPS in 8 minutes! 🔁,2023-10-30 14:33:46+00:00,2023,10,44,8
z2fcWdoph4U,Learn JavaScript SWITCHES in 6 minutes! 💡,2023-10-24 13:40:04+00:00,2023,10,41,7
atS_A9HHAVo,JavaScript TERNARY OPERATOR in 6 minutes!  ❓,2023-10-23 13:54:46+00:00,2023,10,44,7
uy-1WNqecnI,Why the Math object in JavaScript is useful 🧮,2023-10-19 14:54:18+00:00,2023,10,45,9
jLRnuVHwHKk,Learn JavaScript TYPE CONVERSION in 5 minutes! 💱,2023-10-18 13:33:44+00:00,2023,10,48,8
uu0lOX6Ot3s,How to create a CSS image gallery in 5 minutes! 📷,2023-09-21 16:58:45+00:00,2023,9,49,11
k3AJx11k9QY,Learn CSS icons in 8 minutes! 🐤,2023-09-21 16:59:23+00:00,2023,9,31,7
f3uCSh6LIY0,How to create a CSS navigation bar in 6 minutes! 🧭,2023-09-21 16:58:11+00:00,2023,9,50,11
Hsu8uqQTSV8,CSS website layout in 9 minutes! 🗺️,2023-09-21 16:58:27+00:00,2023,9,35,7
QctF-i4-GuM,Learn CSS height and width in 6 minutes! 📏,2023-09-21 16:55:23+00:00,2023,9,42,9
tDqTXipQmBU,Learn HTML buttons in 5 minutes! 🔘,2023-09-21 16:51:00+00:00,2023,9,34,7
WbnCll6vvw4,Learn HTML span &amp; div in 4 minutes! 🏁,2023-09-21 16:50:09+00:00,2023,9,41,9
sm5hTFzSs5Y,Learn HTML images in 6 minutes! 🖼️,2023-09-21 16:48:47+00:00,2023,9,34,7
BAx2GaMW2qA,Learn HTML video in 4 minutes! 🎥,2023-09-21 16:49:19+00:00,2023,9,32,7
2oCN2q1x3c4,HTML tutorial for beginners 🌎,2023-09-21 16:39:31+00:00,2023,9,29,5
c2M-rlkkT5o,Learn MongoDB in 1 hour 🍃,2023-04-14 17:40:13+00:00,2023,4,25,6
5OdVJbNCSso,SQL Full Course for free 🐬,2023-01-02 15:00:02+00:00,2023,1,26,6
7QCHpAtlSMo,Python keyword arguments are awesome! 🗝️,2022-11-30 15:00:06+00:00,2022,11,40,6
89cGQjB5R4M,Functions in Python are easy 📞,2022-11-26 15:00:05+00:00,2022,11,30,6
oagHZwY9JJY,MySQL: STORED PROCEDURES,2022-11-22 14:11:01+00:00,2022,11,24,3
6FwQBS3jV_I,MySQL: ROLLUP,2022-11-20 15:38:25+00:00,2022,11,13,2
x-Ag2_bJ40Y,Code a dice roller program in 10 minutes! 🎲,2022-11-16 16:33:31+00:00,2022,11,43,9
fn68QNcatfo,ROCK PAPER SCISSORS game in Python 🗿,2022-11-14 17:12:42+00:00,2022,11,36,7
piJc18hcH0Y,Generate random numbers in Python 🎲,2022-11-12 15:30:18+00:00,2022,11,35,6
PbkIzW_70EI,Python concession stand program 🍿,2022-11-11 15:00:29+00:00,2022,11,33,5
gOMW_n2-2Mw,"Python lists, sets, and tuples explained 🍍",2022-11-04 14:23:00+00:00,2022,11,42,7
q-kZ8Rq58MY,MySQL LIMIT clause is easy,2022-11-03 10:55:05+00:00,2022,11,26,5
R-5F3BF8IeY,MySQL ORDER BY clause is easy,2022-11-02 20:52:09+00:00,2022,11,29,6
ALht4W2QxqY,MySQL: AUTO_INCREMENT is awesome,2022-10-25 12:56:17+00:00,2022,10,32,4
KWgYha0clzw,Learn Python for loops in 5 minutes! 🔁,2022-10-23 17:33:10+00:00,2022,10,38,8
EeG2boJCXbc,MySQL: CHECK constraint is easy,2022-10-20 14:31:20+00:00,2022,10,31,5
Of_-2pBeL0g,MySQL: UNIQUE constraint,2022-10-18 14:00:42+00:00,2022,10,24,3
kUDznItqKbI,MySQL: How to SELECT data from a TABLE,2022-10-12 12:53:07+00:00,2022,10,38,8
nMCOB8KElwo,User input in Python is easy + exercises ⌨️,2022-10-07 13:31:53+00:00,2022,10,43,9
9IX8bfUTSaA,ignore this video,2022-09-20 12:35:05+00:00,2022,9,17,3
-TkoO8Z07hI,C++ Full Course for free ⚡️,2022-06-28 23:47:32+00:00,2022,6,27,6
fc19HhHKtrA,C++ dynamic memory explained for beginners 🧠,2022-05-23 03:17:47+00:00,2022,5,44,7
bwqy8RZxrS4,Useful string methods in JavaScript 〰️【4 minutes】,2022-04-22 15:43:55+00:00,2022,4,49,7
dWsjatPhWHQ,What is the ternary operator ❓,2022-04-21 12:36:34+00:00,2022,4,30,6
kO3eEn_hgQc,What&#39;s an if statement? 🤔,2022-04-21 12:35:50+00:00,2022,4,29,5
Bx9b12FCF5o,What is a switch? 🔀,2022-04-21 12:36:14+00:00,2022,4,19,5
imiIhu9u670,How to accept user input in C++? ⌨️,2022-04-19 23:19:39+00:00,2022,4,35,8
Gt2yBZAhsGM,Learn Binary search trees in 20 minutes 🔍,2021-11-10 15:22:47+00:00,2021,11,41,8
7z_HXFZqXqc,Learn Priority Queue data structures in 5 minutes 🥇,2021-10-17 19:13:46+00:00,2021,10,51,9
246V51AWwZM,Learn Linear Search in 3 minutes ⬇️,2021-10-16 19:36:57+00:00,2021,10,35,7
87SH2Cn0s9A,C Programming Full Course for free ⚙️,2021-10-07 14:00:10+00:00,2021,10,37,7
N1twTeNMdOE,C break vs continue 🥊,2021-10-06 21:06:13+00:00,2021,10,21,5
Vh4krbTnTAA,C 2D arrays ⬜,2021-10-06 21:06:25+00:00,2021,10,13,4
Hzg3kCHJcxI,C reading files 🔎,2021-10-06 21:04:27+00:00,2021,10,17,4
DplxIq0mc_Y,C pointers explained👉,2021-10-06 21:02:42+00:00,2021,10,21,3
yD3MGmGtlWY,C quiz game 💯,2021-10-06 21:00:05+00:00,2021,10,13,4
Lk-b45vrT8U,C array of structs 🏫,2021-10-06 20:57:10+00:00,2021,10,20,5
qLVrwCvVPGo,C sort an array 💱,2021-10-06 20:54:26+00:00,2021,10,17,5
shLeCvDQYp4,C print an array with loop 🔃,2021-10-06 20:51:51+00:00,2021,10,28,7
b4DPj0XAfSg,C for loops in 3 minutes! 🔁,2021-10-06 20:48:11+00:00,2021,10,27,7
wRNinF7YQqQ,Learn CSS in 1 hour 🎨,2021-09-08 14:00:20+00:00,2021,9,21,6
O7mTUtHDP5E,Learn CSS animation in 8 minutes 🎞️,2021-09-04 19:57:52+00:00,2021,9,35,7
fWnXVwULqrE,Learn CSS pseudo classes in 5 minutes 👨‍👧‍👦,2021-09-04 13:42:49+00:00,2021,9,43,8
qTEDcXJ-dzw,Learn CSS shadows in 2 minutes 👥,2021-09-03 13:03:52+00:00,2021,9,32,7
6RuzhtsbSIg,Learn CSS borders in 2 minutes 🔲,2021-09-02 14:14:16+00:00,2021,9,32,7
xv-bBxaa7WU,CSS tutorial for beginners 🎨,2021-09-02 13:09:04+00:00,2021,9,28,5
yHX-UwAnoqk,Learn HTML span &amp; div in 2 minutes 🏁,2021-09-01 12:49:52+00:00,2021,9,40,9
6IQz_cF-Slk,Learn HTML colors in 3 minutes 🖍️,2021-09-01 12:49:24+00:00,2021,9,33,7
5mqHzWIzruM,C hypotenuse calculator program 📐,2021-09-01 12:37:50+00:00,2021,9,33,5
REtiFfgj8SU,C circle circumference program ⚪,2021-08-27 15:11:56+00:00,2021,8,32,5
-kXZvKxs9oA,Learn HTML lists in 4 minutes 📋,2021-08-21 15:23:45+00:00,2021,8,31,7
SZfoOAv9tEo,Learn HTML text formatting in 2 minutes 💬,2021-08-21 15:06:21+00:00,2021,8,41,8
9E3I1URu6fc,C arithmetic operators ➗,2021-08-19 15:00:33+00:00,2021,8,24,4
Hh_se2Zqsdk,Learn HTML images in 3 minutes 📷,2021-08-15 15:28:16+00:00,2021,8,32,7
iLZOL-hmr7M,C format specifiers 🔧,2021-08-15 15:27:58+00:00,2021,8,21,4
Vtckgz38QHs,Learn Quick Sort in 13 minutes ⚡,2021-08-13 14:11:31+00:00,2021,8,32,7
